1 1. 일반사항  1. 일반사항 
2 1.1 목적  1.1 목적 
3 1.1 목적  (1) 이 기준의 목적은 지지력, 침하 등 얕은기초에서 발생 가능한 파괴에 대하여 설계 안정성을 만족시키는데 필요한 최소한의 설계 요구조건을 규정하는데 있다. 
4 1.2 적용 범위  1.2 적용 범위 
5 1.2 적용 범위  (1) 이 기준은 기초 폭에 비하여 근입깊이가 얕고 상부 구조물의 하중을 분산시켜 기초하부 지반에 직접 전달하는 확대기초, 복합기초, 연속기초 및 전면기초에 적용한다. 
6 1.3 참고 기준  1.3 참고 기준 
7 1.3.1 관련 법규  1.3.1 관련 법규 
8 1.3.1 관련 법규  내용 없음 
9 1.3.2 관련 기준  1.3.2 관련 기준 
10 1.3.2 관련 기준  ∙KDS 11 10 05 지반 설계 일반 
11 1.3.2 관련 기준  ∙KS F 2444 얕은 기초의 평판 재하시험 방법 
12 1.4 용어의 정의  1.4 용어의 정의 
13 1.4 용어의 정의  ∙강성기초: 기초지반에 비하여 기초판의 강성이 커서 기초판의 변형을 고려하지 않는 기초로서 기초의 변위 및 안정 계산 시 기초 자체의 탄성변형을 무시할 수 있는 기초 
14 1.4 용어의 정의  ∙국부전단파괴: 기초지반에 전체적인 활동 파괴면이 발생하지 않고, 지반응력이 파괴응력에 도달한 부분에서 국부적으로 전단파괴가 발생하는 지반의 파괴형태 
15 1.4 용어의 정의  ∙극한지지력: 구조물을 지지할 수 있는 지반의 최대 저항력 
16 1.4 용어의 정의  ∙기초지반: 구조물 기초와 접한 지반. 또는 구조물 설치에 의해 영향을 받는 구조물 하부 지반 영역 
17 1.4 용어의 정의  ∙복합기초: 두 개 이상의 기둥으로부터의 하중을 하나의 기초판을 통하여 지반으로 전달하는 구조체 
18 1.4 용어의 정의  ∙연성기초: 지반강성에 비하여 기초판의 강성이 상대적으로 작아서 지반반력이 등분포로 작용하는 기초 
19 1.4 용어의 정의  ∙연속기초: 벽 아래를 따라 또는 일련의 기둥을 묶어 띠모양으로 설치하는 기초의 저판에 의하여 상부 구조로부터 받는 하중을 지반에 전달하는 형식의 기초 
20 1.4 용어의 정의  ∙전면기초: 상부구조물의 여러 개의 기둥 또는 내력벽체를 하나의 넓은 슬래브로 지지하는 기초 형식 
21 1.4 용어의 정의  ∙전반전단파괴: 기초지반 전체에 걸쳐 뚜렷한 전단파괴면을 형성하는 지반의 파괴형태 
